0	923.13	0	99.25	181.64	7.67
0.25	954.17	0	105.54	181.64	8.11
0.5	969.66	0	111.37	181.46	8.52
0.75	1091.13	0	111.9	182.8	9.42
1	1070.82	0	113.31	181.38	9.41
1.25	1034.41	0	113.21	180.27	9.4
1.5	1027.21	0	112.15	181.42	9.46
1.75	972.05	0	106.5	181.63	9.17
2	974.54	0	111.84	180.79	9.27
2.25	1020.11	0	111.09	181.98	9.85
2.5	1056.82	0	113.37	182.06	10.17
2.75	1061.44	0	108.18	181.86	10.16
3	1044.65	0	109.22	181.86	10.18
3.25	999.24	0	110.43	181.98	9.95
3.5	1008.68	0	110.41	183.08	9.97
3.75	989.21	0	111.49	182.01	9.81
4	993.81	0	111.63	180.97	10.03
4.25	1004.9	0	111.89	182	10.08
4.5	1016.12	0	111.29	181.81	10.19
4.75	965.14	0	112.27	182.46	9.77
5	943.82	0	109.77	181.3	9.56
5.25	983.98	0	110.98	181.31	9.83
5.5	960.51	0	112.15	182.32	9.58
5.75	1009.55	0	106.5	182.26	9.85
6	985.21	0	110.97	182.26	9.65
6.25	953.87	0	111.21	183.26	9.15
6.5	871.83	0	110.39	182.05	8.41
6.75	881.41	0	112.56	181.93	8.54
7	916.13	0	111.78	180.79	8.72
7.25	863.94	0	112.53	179.79	8.28
7.5	901.48	0	112.45	178.31	8.57
7.75	868.78	5.39	112.45	180.78	8.35
8	881.94	24	104.43	181.81	8.32
8.25	882.35	55.89	104.36	180.72	8.29
8.5	931.02	112.17	105.36	182.16	8.89
8.75	958.09	159.64	106.74	183.39	9.28
9	967.92	193.06	111.87	183.29	9.46
9.25	972.2	251.09	104.2	180.67	9.69
9.5	933.15	356.99	104.74	180.81	10.1
9.75	1007.09	397.69	105.52	180.81	10.8
10	1070.9	466.68	105.52	181.11	11.44
10.25	1047.63	493.2	105.52	181.33	11.56
10.5	1115.71	487.32	111.63	179.72	12.07
10.75	1231.04	515.71	111.61	179.96	12.87
11	1191.15	422.31	113.1	179.96	12.01
11.25	1230.36	506.7	112.16	179.76	12.96
11.5	1262.28	530.52	112.16	179.18	13.32
11.75	1282.47	574.44	111.86	180.25	13.68
12	1306.72	576.39	110.94	180.14	13.88
12.25	1298.62	596.44	112.35	179.45	13.9
12.5	1301.44	600.73	111.12	179.9	14.18
12.75	1371.32	600.42	109.01	180.77	14.56
13	1376.92	623.22	107.93	179.47	14.73
13.25	1385.72	621.21	107.93	179.49	14.83
13.5	1399.35	597.18	106.47	180.57	14.97
13.75	1371.89	640.92	104.24	179.23	15.03
14	1357.1	635.53	108.37	187.66	15.29
14.25	1360.01	634.45	104.77	187.66	15.23
14.5	1356.03	589.7	106.42	187.63	15.13
14.75	1388.57	575.38	108	187.28	15.26
15	1369.53	610.45	108.99	187.28	15.5
15.25	1370.19	612.4	108.99	187.44	15.67
15.5	1362.84	586	104.57	187.33	15.33
15.75	1315.87	566.98	108.1	187.33	14.98
16	1318.89	575.14	108.1	186.65	15.26
16.25	1346.29	544.63	108.1	187.69	15.23
16.5	1341.05	443.34	108.33	189.01	14.41
16.75	1339.03	410.95	109	187.63	14.17
17	1341.67	482.61	108.62	188.75	14.86
17.25	1387.48	366.27	108.89	188.69	14.22
17.5	1409.44	310.66	109.84	188.65	14.08
17.75	1433.6	286.85	109.6	188.51	14.13
18	1447.51	247.69	109.52	188.51	14.03
18.25	1445.35	195.79	107.52	188.52	13.46
18.5	1468.61	147.49	106.28	187.26	13.04
18.75	1511.25	87.17	107.15	188.51	12.74
19	1526.46	24.56	108.1	187.32	11.93
19.25	1560.78	3.42	109.03	187.49	11.55
19.5	1545.76	0.38	107.73	192.97	11.06
19.75	1524.24	0	110.2	209.14	10.83
20	1490.25	0	107.94	210.18	10.5
20.25	1491.75	0	110.13	210.18	10.39
20.5	1504.87	0	109.98	210.2	10.44
20.75	1557.42	0	109.32	210.2	10.73
21	1540.95	0	109.02	210.2	10.58
21.25	1534.19	0	102.49	210.2	10.59
21.5	1484.66	0	104.1	211.23	10.46
21.75	1460.1	0	109.14	210.11	10.34
22	1416.56	0	108.07	206.88	10.24
22.25	1457.99	0	110.17	210.26	10.72
22.5	1503.29	0	110.72	210.26	11.16
22.75	1561.63	0	110.82	195.45	11.59
23	1614.64	0	111.27	195.45	12.1
23.25	1675.28	0	110.13	187.95	12.56
23.5	1743.8	0	108.76	187.95	13.27
23.75	1753.26	0	108.17	182.81	13.5
24	1783.98	0	109.83	182.71	13.87

